;T_MIN;T_MAX;HAUTEUR_PRECIPITATION;DUREE_ENSOLEILLEMENT
1;2.8 C;8.2 C;1.2 mm;2.4 h
2;3.4 C;6.9 C;0.4 mm;1.3 h
3;3.1 C;5.2 C;6.0 mm;0.0 h
4;1.9 C;3.4 C;0.0 mm;2.2 h
5;-1.2 C;1.9 C;0.2 mm;0.1 h
6;-0.8 C;0.4 C;12.7 mm;0.0 h
7;-1.8 C;0.2 C;0.0 mm;0.0 h
8;-2.7 C;5.4 C;0.0 mm;7.1 h
9;-4.0 C;2.3 C;3.0 mm;1.2 h
10;0.1 C;6.3 C;2.4 mm;7.8 h
11;2.7 C;8.6 C;0.8 mm;2.7 h
12;0.7 C;7.1 C;1.0 mm;7.9 h
13;-0.9 C;4.3 C;0.4 mm;1.5 h
14;0.2 C;7.3 C;5.6 mm;0.0 h
15;4.6 C;11.1 C;3.6 mm;0.0 h
16;3.9 C;10.3 C;0.0 mm;5.7 h
17;5.1 C;8.8 C;0.0 mm;3.8 h
18;0.6 C;8.4 C;0.0 mm;6.8 h
19;0.7 C;5.8 C;3.0 mm;0.0 h
20;3.7 C;7.2 C;0.0 mm;0.2 h
21;0.5 C;5.1 C;0.0 mm;7.6 h
22;-1.2 C;5.0 C;0.0 mm;9.8 h
23;-1.4 C;4.6 C;0.0 mm;9.9 h
24;-0.8 C;6.1 C;0.0 mm;9.9 h
25;-1.9 C;3.5 C;0.0 mm;10.0 h
26;-3.8 C;0.7 C;0.0 mm;8.2 h
27;-5.6 C;-1.5 C;0.0 mm;1.7 h
28;-7.0 C;-0.6 C;0.6 mm;8.1 h
