;T_MIN;T_MAX;HAUTEUR_PRECIPITATION;DUREE_ENSOLEILLEMENT
1;12.4 C;23.5 C;0.0 mm;12.5 h
2;12.0 C;25.2 C;0.0 mm;12.6 h
3;14.5 C;25.3 C;0.0 mm;5.6 h
4;17.3 C;20.3 C;0.0 mm;0.1 h
5;18.2 C;25.9 C;0.0 mm;3.4 h
6;17.8 C;21.9 C;0.2 mm;2.3 h
7;13.6 C;20.6 C;0.0 mm;8.1 h
8;10.5 C;23.9 C;0.0 mm;10.4 h
9;12.2 C;29.5 C;0.0 mm;9.7 h
10;15.5 C;24.7 C;0.0 mm;7.6 h
11;13.8 C;29.2 C;0.0 mm;12.0 h
12;16.1 C;27.4 C;0.4 mm;10.5 h
13;15.4 C;17.8 C;0.6 mm;0.0 h
14;12.7 C;20.9 C;0.0 mm;9.4 h
15;11.3 C;22.6 C;0.0 mm;10.2 h
16;12.2 C;25.1 C;0.0 mm;7.8 h
17;12.8 C;29.2 C;0.0 mm;11.7 h
18;16.7 C;24.4 C;0.2 mm;2.6 h
19;17.1 C;25.3 C;0.0 mm;9.5 h
20;15.1 C;25.6 C;1.0 mm;8.9 h
21;13.7 C;18.8 C;1.8 mm;6.9 h
22;11.7 C;20.2 C;0.4 mm;2.8 h
23;13.2 C;22.9 C;6.1 mm;0.1 h
24;9.1 C;17.7 C;0.0 mm;9.2 h
25;8.6 C;17.9 C;0.0 mm;11.3 h
26;7.9 C;21.7 C;0.0 mm;11.2 h
27;9.1 C;25.6 C;0.0 mm;11.1 h
28;13.1 C;18.9 C;0.0 mm;4.4 h
29;8.7 C;18.5 C;0.0 mm;11.0 h
30;7.2 C;17.8 C;0.0 mm;9.0 h
