;T_MIN;T_MAX;HAUTEUR_PRECIPITATION;DUREE_ENSOLEILLEMENT
1;21.7 C;33.8 C;0.0 mm;8.8 h
2;20.7 C;31.3 C;0.0 mm;8.9 h
3;19.9 C;30.5 C;0.0 mm;13.1 h
4;20.4 C;30.0 C;0.0 mm;9.0 h
5;20.4 C;26.8 C;0.4 mm;1.6 h
6;17.7 C;30.0 C;0.0 mm;12.2 h
7;19.8 C;31.4 C;0.0 mm;12.0 h
8;20.6 C;30.7 C;0.0 mm;9.8 h
9;17.4 C;27.3 C;0.0 mm;11.8 h
10;17.1 C;23.7 C;0.0 mm;9.9 h
11;15.1 C;22.6 C;0.0 mm;2.2 h
12;15.5 C;26.0 C;0.0 mm;8.7 h
13;18.0 C;28.7 C;0.0 mm;7.7 h
14;18.4 C;30.7 C;2.0 mm;11.7 h
15;19.0 C;31.5 C;0.0 mm;7.7 h
16;19.7 C;30.9 C;0.0 mm;9.0 h
17;18.8 C;26.9 C;0.0 mm;8.2 h
18;17.8 C;29.4 C;0.0 mm;9.7 h
19;18.5 C;31.2 C;0.6 mm;8.4 h
20;19.3 C;26.5 C;1.0 mm;0.8 h
21;16.7 C;26.9 C;0.0 mm;10.8 h
22;18.3 C;27.9 C;0.0 mm;8.1 h
23;19.8 C;30.9 C;0.0 mm;8.8 h
24;20.0 C;32.4 C;0.0 mm;4.7 h
25;22.0 C;34.4 C;0.0 mm;13.6 h
26;22.4 C;36.2 C;0.0 mm;9.9 h
27;21.0 C;37.4 C;10.7 mm;8.6 h
28;19.6 C;26.3 C;0.0 mm;9.3 h
29;18.6 C;28.9 C;0.0 mm;3.7 h
30;19.4 C;29.1 C;0.0 mm;7.7 h
31;20.8 C;28.7 C;0.0 mm;8.7 h
