;T_MIN;T_MAX;HAUTEUR_PRECIPITATION;DUREE_ENSOLEILLEMENT
1;0.8 C;4.5 C;0.0 mm;0.7 h
2;-0.3 C;1.8 C;0.0 mm;0.4 h
3;-1.9 C;5.8 C;0.4 mm;0.0 h
4;2.9 C;9.4 C;0.0 mm;0.4 h
5;3.1 C;8.3 C;0.0 mm;0.0 h
6;5.4 C;6.7 C;0.0 mm;0.0 h
7;2.1 C;9.5 C;3.6 mm;0.0 h
8;2.2 C;5.2 C;2.4 mm;2.4 h
9;0.5 C;6.0 C;4.6 mm;6.2 h
10;1.2 C;10.4 C;25.6 mm;0.8 h
11;3.2 C;10.1 C;3.2 mm;0.0 h
12;1.8 C;6.7 C;0.0 mm;5.0 h
13;3.2 C;9.5 C;13.6 mm;0.0 h
14;4.1 C;7.7 C;3.0 mm;1.2 h
15;3.9 C;6.6 C;2.6 mm;1.9 h
16;4.6 C;6.2 C;0.4 mm;1.2 h
17;2.8 C;9.2 C;4.8 mm;3.6 h
18;4.5 C;8.6 C;0.0 mm;3.4 h
19;3.4 C;6.4 C;0.0 mm;2.5 h
20;3.6 C;9.4 C;0.6 mm;0.0 h
21;9.0 C;11.2 C;1.2 mm;0.0 h
22;9.0 C;10.9 C;1.6 mm;0.0 h
23;9.1 C;9.8 C;0.0 mm;0.0 h
24;8.7 C;9.1 C;0.2 mm;0.0 h
25;4.3 C;7.5 C;2.2 mm;0.0 h
26;4.3 C;8.1 C;5.4 mm;0.9 h
27;3.9 C;6.4 C;3.0 mm;0.7 h
28;1.4 C;6.4 C;0.0 mm;7.1 h
29;0.3 C;11.9 C;15.1 mm;0.2 h
30;6.9 C;14.9 C;0.8 mm;0.3 h
31;10.7 C;15.1 C;1.0 mm;0.9 h
