;T_MIN;T_MAX;HAUTEUR_PRECIPITATION;DUREE_ENSOLEILLEMENT
1;5.0 C;13.7 C;0.0 mm;4.0 h
2;7.2 C;14.2 C;0.0 mm;0.8 h
3;10.9 C;17.0 C;0.0 mm;2.6 h
4;9.2 C;15.8 C;3.6 mm;0.7 h
5;6.7 C;10.6 C;0.0 mm;5.5 h
6;5.4 C;11.2 C;0.0 mm;6.6 h
7;2.8 C;9.4 C;0.0 mm;7.1 h
8;1.2 C;9.4 C;0.0 mm;0.5 h
9;7.3 C;11.3 C;1.0 mm;1.8 h
10;8.5 C;13.6 C;0.8 mm;1.2 h
11;8.7 C;13.5 C;8.8 mm;0.0 h
12;6.7 C;12.6 C;9.7 mm;1.1 h
13;6.1 C;9.7 C;0.0 mm;3.3 h
14;3.8 C;11.0 C;0.0 mm;5.6 h
15;5.1 C;9.8 C;0.0 mm;1.8 h
16;6.4 C;11.7 C;0.0 mm;2.1 h
17;8.5 C;10.6 C;0.0 mm;0.1 h
18;3.9 C;9.6 C;1.4 mm;0.8 h
19;6.2 C;8.8 C;0.0 mm;3.8 h
20;4.6 C;10.3 C;0.0 mm;0.2 h
21;7.9 C;10.8 C;0.0 mm;0.0 h
22;7.5 C;14.0 C;0.0 mm;7.3 h
23;10.7 C;16.8 C;6.7 mm;1.7 h
24;9.7 C;12.1 C;0.4 mm;0.4 h
25;4.6 C;7.0 C;0.8 mm;1.8 h
26;3.3 C;8.0 C;0.0 mm;4.1 h
27;4.7 C;8.5 C;14.7 mm;0.2 h
28;5.7 C;10.5 C;1.0 mm;3.6 h
29;1.9 C;5.8 C;1.0 mm;2.6 h
30;2.1 C;5.2 C;5.0 mm;3.0 h
