;T_MIN;T_MAX;HAUTEUR_PRECIPITATION;DUREE_ENSOLEILLEMENT
1;16.5 C;21.7 C;4.6 mm;0.2 h
2;16.0 C;24.6 C;0.0 mm;4.0 h
3;16.0 C;27.3 C;0.0 mm;11.1 h
4;18.5 C;26.5 C;7.1 mm;3.7 h
5;16.2 C;22.6 C;13.4 mm;1.2 h
6;14.8 C;24.0 C;4.4 mm;1.3 h
7;17.1 C;25.1 C;0.0 mm;9.7 h
8;17.4 C;26.2 C;0.0 mm;10.4 h
9;16.1 C;25.1 C;0.6 mm;4.9 h
10;17.0 C;25.9 C;2.4 mm;3.3 h
11;18.0 C;21.1 C;78.2 mm;0.1 h
12;14.6 C;20.5 C;0.6 mm;1.0 h
13;11.4 C;18.3 C;0.0 mm;3.2 h
14;11.0 C;21.4 C;0.2 mm;3.6 h
15;14.4 C;24.9 C;0.0 mm;8.4 h
16;14.8 C;23.0 C;0.0 mm;6.7 h
17;14.5 C;21.8 C;0.0 mm;3.0 h
18;17.0 C;24.3 C;0.4 mm;6.4 h
19;17.4 C;25.9 C;0.0 mm;6.1 h
20;16.6 C;29.1 C;0.0 mm;14.1 h
21;16.6 C;21.5 C;0.0 mm;8.4 h
22;10.9 C;22.4 C;0.0 mm;11.5 h
23;10.5 C;22.9 C;0.0 mm;12.3 h
24;14.4 C;23.5 C;0.0 mm;14.1 h
25;13.9 C;25.8 C;0.0 mm;14.4 h
26;16.1 C;28.2 C;0.0 mm;15.0 h
27;15.9 C;29.8 C;0.0 mm;14.9 h
28;17.2 C;29.2 C;0.0 mm;14.0 h
29;18.6 C;29.7 C;0.0 mm;10.2 h
30;18.4 C;33.0 C;0.0 mm;11.5 h
