;T_MIN;T_MAX;HAUTEUR_PRECIPITATION;DUREE_ENSOLEILLEMENT
1;18.6 C;30.9 C;0.0 mm;9.1 h
2;18.8 C;33.3 C;0.0 mm;14.1 h
3;20.7 C;35.4 C;0.0 mm;14.1 h
4;22.0 C;33.8 C;0.0 mm;13.0 h
5;18.4 C;31.8 C;0.0 mm;13.9 h
6;19.5 C;34.4 C;0.0 mm;12.8 h
7;21.2 C;36.9 C;0.0 mm;9.4 h
8;18.1 C;27.6 C;4.9 mm;5.2 h
9;16.1 C;19.4 C;1.4 mm;1.6 h
10;12.0 C;23.5 C;0.0 mm;8.1 h
11;15.1 C;25.5 C;0.0 mm;8.6 h
12;15.0 C;31.5 C;2.2 mm;10.0 h
13;18.2 C;25.0 C;0.2 mm;6.2 h
14;17.3 C;25.2 C;0.0 mm;4.5 h
15;17.6 C;26.4 C;0.0 mm;7.5 h
16;16.4 C;31.4 C;1.8 mm;11.6 h
17;16.4 C;25.4 C;0.0 mm;8.6 h
18;14.9 C;25.7 C;0.0 mm;13.2 h
19;16.0 C;28.7 C;0.0 mm;12.4 h
20;19.5 C;24.1 C;0.2 mm;0.2 h
21;19.4 C;26.7 C;0.0 mm;1.1 h
22;18.1 C;29.8 C;0.0 mm;8.8 h
23;17.1 C;26.3 C;3.0 mm;9.4 h
24;14.7 C;21.0 C;0.4 mm;5.5 h
25;13.0 C;20.3 C;0.0 mm;8.1 h
26;9.9 C;23.6 C;0.0 mm;5.1 h
27;17.0 C;23.5 C;0.2 mm;5.1 h
28;13.2 C;28.1 C;13.2 mm;12.8 h
29;17.1 C;21.4 C;6.1 mm;2.2 h
30;15.6 C;21.0 C;0.0 mm;0.5 h
31;14.2 C;23.3 C;0.0 mm;7.9 h
