;T_MIN;T_MAX;HAUTEUR_PRECIPITATION;DUREE_ENSOLEILLEMENT
1;6.8 C;11.8 C;0.0 mm;0.8 h
2;7.5 C;16.9 C;0.6 mm;1.5 h
3;10.4 C;15.4 C;7.2 mm;2.0 h
4;8.2 C;14.4 C;1.4 mm;2.9 h
5;7.3 C;11.7 C;0.0 mm;2.4 h
6;5.7 C;19.5 C;0.0 mm;11.9 h
7;10.5 C;21.6 C;0.0 mm;6.4 h
8;11.6 C;23.5 C;0.0 mm;5.8 h
9;11.9 C;16.1 C;8.1 mm;0.0 h
10;10.3 C;17.4 C;0.2 mm;4.8 h
11;7.5 C;20.0 C;0.0 mm;9.5 h
12;10.1 C;14.9 C;4.8 mm;0.2 h
13;9.8 C;18.9 C;0.0 mm;7.2 h
14;9.9 C;17.5 C;0.2 mm;0.3 h
15;8.9 C;17.8 C;0.0 mm;4.0 h
16;9.2 C;18.5 C;0.0 mm;6.0 h
17;8.0 C;22.6 C;0.0 mm;13.0 h
18;11.4 C;27.0 C;0.0 mm;13.0 h
19;13.4 C;28.7 C;0.0 mm;12.8 h
20;15.0 C;29.2 C;0.0 mm;12.9 h
21;16.0 C;28.5 C;4.7 mm;12.8 h
22;15.3 C;27.7 C;0.0 mm;10.5 h
23;13.3 C;19.9 C;0.0 mm;6.2 h
24;10.0 C;21.4 C;0.0 mm;12.6 h
25;12.6 C;17.3 C;0.2 mm;4.1 h
26;7.8 C;16.7 C;0.0 mm;8.5 h
27;7.8 C;20.1 C;0.0 mm;8.7 h
28;11.0 C;16.5 C;1.2 mm;3.2 h
29;9.8 C;12.3 C;15.1 mm;0.1 h
30;5.2 C;6.8 C;6.8 mm;0.0 h
