;T_MIN;T_MAX;HAUTEUR_PRECIPITATION;DUREE_ENSOLEILLEMENT
1;6.4 C;9.6 C;14.5 mm;0.6 h
2;6.2 C;13.8 C;5.7 mm;0.0 h
3;6.9 C;11.6 C;11.0 mm;4.6 h
4;8.2 C;14.7 C;8.7 mm;0.0 h
5;7.9 C;10.9 C;0.6 mm;0.0 h
6;5.4 C;8.9 C;2.8 mm;0.0 h
7;6.0 C;7.0 C;0.8 mm;0.0 h
8;6.3 C;9.1 C;0.0 mm;3.7 h
9;4.7 C;8.3 C;2.6 mm;0.0 h
10;6.8 C;10.3 C;0.4 mm;0.9 h
11;5.8 C;8.7 C;0.0 mm;0.0 h
12;5.6 C;7.2 C;0.0 mm;0.0 h
13;4.1 C;5.9 C;0.0 mm;0.3 h
14;1.8 C;8.7 C;0.0 mm;6.1 h
15;4.3 C;10.1 C;9.7 mm;0.0 h
16;6.3 C;11.0 C;5.2 mm;2.6 h
17;3.7 C;9.4 C;4.4 mm;6.8 h
18;6.0 C;11.8 C;3.2 mm;1.5 h
19;3.9 C;7.5 C;3.0 mm;2.5 h
20;3.7 C;11.9 C;5.6 mm;0.1 h
21;5.9 C;12.2 C;9.8 mm;0.0 h
22;8.0 C;13.5 C;7.2 mm;1.4 h
23;7.4 C;12.3 C;0.2 mm;0.8 h
24;11.2 C;13.5 C;6.7 mm;0.5 h
25;8.6 C;9.2 C;1.4 mm;0.0 h
26;5.4 C;10.8 C;1.6 mm;4.7 h
27;4.5 C;6.6 C;0.6 mm;0.1 h
28;4.5 C;11.5 C;0.0 mm;0.3 h
29;9.5 C;11.4 C;0.0 mm;0.0 h
30;8.7 C;11.3 C;0.2 mm;0.3 h
31;7.7 C;9.2 C;11.1 mm;0.0 h
