;T_MIN;T_MAX;HAUTEUR_PRECIPITATION;DUREE_ENSOLEILLEMENT
1;-4.4 C;2.5 C;0.0 mm;0.0 h
2;1.1 C;9.4 C;1.0 mm;1.4 h
3;1.6 C;11.1 C;0.2 mm;2.6 h
4;3.4 C;8.6 C;7.1 mm;1.5 h
5;5.0 C;12.6 C;0.0 mm;3.4 h
6;6.0 C;11.7 C;3.0 mm;5.5 h
7;3.8 C;10.4 C;3.2 mm;3.8 h
8;3.9 C;10.6 C;3.2 mm;0.2 h
9;6.1 C;14.8 C;0.6 mm;0.4 h
10;10.9 C;17.4 C;16.5 mm;1.2 h
11;10.6 C;18.6 C;0.2 mm;6.0 h
12;9.5 C;13.9 C;2.0 mm;1.6 h
13;8.4 C;13.3 C;0.0 mm;1.7 h
14;3.8 C;14.9 C;5.6 mm;8.8 h
15;8.7 C;13.5 C;2.6 mm;1.0 h
16;7.1 C;13.3 C;0.4 mm;5.3 h
17;1.2 C;8.2 C;10.1 mm;0.0 h
18;-0.6 C;1.8 C;2.4 mm;0.0 h
19;-1.3 C;1.7 C;0.0 mm;0.0 h
20;-1.3 C;8.8 C;0.0 mm;5.9 h
21;1.1 C;8.8 C;0.0 mm;4.7 h
22;2.0 C;8.6 C;0.0 mm;0.0 h
23;5.1 C;7.2 C;0.0 mm;0.1 h
24;5.9 C;14.1 C;0.0 mm;6.2 h
25;7.5 C;15.7 C;0.0 mm;1.2 h
26;7.1 C;13.8 C;0.6 mm;6.3 h
27;5.9 C;13.5 C;7.0 mm;0.5 h
28;7.2 C;14.6 C;8.9 mm;0.7 h
29;3.4 C;12.6 C;2.8 mm;6.0 h
30;5.6 C;11.1 C;0.2 mm;2.9 h
31;4.9 C;11.1 C;0.0 mm;2.9 h
