;T_MIN;T_MAX;HAUTEUR_PRECIPITATION;DUREE_ENSOLEILLEMENT
1;10.2 C;16.1 C;0.0 mm;6.9 h
2;10.2 C;16.2 C;0.2 mm;0.0 h
3;14.5 C;18.9 C;0.0 mm;2.3 h
4;11.0 C;20.7 C;0.0 mm;9.6 h
5;9.2 C;24.5 C;0.0 mm;10.7 h
6;11.4 C;24.0 C;0.4 mm;7.5 h
7;12.7 C;15.4 C;1.6 mm;0.0 h
8;8.9 C;18.2 C;0.0 mm;10.2 h
9;9.5 C;23.1 C;0.0 mm;10.4 h
10;12.4 C;25.0 C;0.0 mm;9.1 h
11;15.4 C;25.7 C;2.2 mm;6.2 h
12;15.1 C;25.2 C;0.0 mm;5.5 h
13;15.7 C;27.2 C;0.0 mm;8.4 h
14;14.7 C;26.4 C;0.0 mm;7.1 h
15;16.0 C;26.4 C;0.0 mm;8.8 h
16;15.1 C;25.6 C;0.0 mm;9.6 h
17;14.1 C;20.7 C;0.0 mm;4.5 h
18;12.5 C;20.5 C;0.0 mm;9.8 h
19;10.6 C;18.4 C;0.0 mm;9.2 h
20;9.0 C;17.5 C;0.0 mm;9.7 h
21;7.2 C;18.2 C;0.0 mm;9.7 h
22;11.3 C;14.9 C;0.2 mm;0.4 h
23;6.7 C;16.8 C;0.0 mm;8.9 h
24;11.8 C;16.1 C;0.0 mm;0.3 h
25;12.3 C;15.8 C;0.0 mm;4.9 h
26;9.4 C;14.3 C;0.6 mm;1.0 h
27;5.1 C;9.8 C;0.0 mm;4.0 h
28;4.7 C;8.1 C;0.0 mm;0.4 h
29;3.6 C;5.8 C;12.1 mm;0.0 h
30;3.4 C;11.3 C;2.4 mm;1.5 h
